"보고 시작","보고 종료","캠페인 이름",연령,"캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)"
2024-10-31,2026-04-26,크루즈인솔자,18-24,archived,"클릭 후 7일 또는 조회 후 1일",,,614,1.374593,,"광고 세트 예산 사용 중",0,21445,2024-11-27,844,25408.767773,15,,1429.666667,1.777251,21,2.488152,1021.190476,16,1340.3125
2024-10-31,2026-04-26,8번째3번광고핑거스냅,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",32,actions:offsite_conversion.fb_pixel_lead,624,1.435897,160.375,"광고 세트 예산 사용 중",0,5132,"진행 중",896,5727.678571,36,,142.555556,4.017857,39,4.352679,131.589744,33,155.515152
2024-10-31,2026-04-26,놀면서일하는영상,18-24,archived,"클릭 후 7일 또는 조회 후 1일",,,247,1.619433,,"광고 세트 예산 사용 중",0,15248,2024-11-27,400,38120,9,,1694.222222,2.25,10,2.5,1524.8,8,1906
2024-10-31,2026-04-26,8번째3번광고소재부업,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",,,8,1,,"광고 세트 예산 사용 중",0,54,"진행 중",8,6750,,,,,0,0,0,,
2024-10-31,2026-04-26,놀면서일하는영상,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,52,1.173077,,"광고 세트 예산 사용 중",0,1418,"진행 중",61,23245.901639,1,,1418,1.639344,1,1.639344,1418,1,1418
2024-10-31,2026-04-26,20250103새로만들기,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",43,actions:offsite_conversion.fb_pixel_lead,156,2.185897,29.41860465,"광고 세트 예산 사용 중",0,1265,"진행 중",341,3709.677419,60,,21.083333,17.595308,60,17.595308,21.083333,37,34.189189
2024-10-31,2026-04-26,인솔자크루즈,18-24,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,2,1,,"광고 세트 예산 사용 중",0,11,2024-11-27,2,5500,,,,,0,0,0,,
2024-10-31,2026-04-26,20250104복사핑거스냅,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",91,actions:offsite_conversion.fb_pixel_lead,191,2.277487,25.59340659,"광고 세트 예산 사용 중",0,2329,"진행 중",435,5354.022989,110,,21.172727,25.287356,112,25.747126,20.794643,78,29.858974
2024-10-31,2026-04-26,네번째인솔자광고,18-24,inactive,"여러 기여 설정",1,actions:offsite_conversion.fb_pixel_lead,110,1.1,1537,"광고 세트 예산 사용 중",0,1537,"진행 중",121,12702.479339,1,,1537,0.826446,3,2.479339,512.333333,1,1537
2024-10-31,2026-04-26,세부타겟2024년1월6일떠오르는직업,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",2,actions:offsite_conversion.fb_pixel_lead,25,1.16,58,"광고 세트 예산 사용 중",0,116,"진행 중",29,4000,3,,38.666667,10.344828,3,10.344828,38.666667,2,58
2024-10-31,2026-04-26,"새로운 캠페인 복제 재택가능 픽셀바꿈",18-24,inactive,"여러 기여 설정",1,actions:offsite_conversion.fb_pixel_lead,67,1,614,"광고 세트 예산 사용 중",0,614,"진행 중",67,9164.179104,1,,614,1.492537,1,1.492537,614,1,614
2024-10-31,2026-04-26,"세부타겟2025년1월6일핑거스냅편집 - 사본",18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,27,1.148148,51,"광고 세트 예산 사용 중",0,153,"진행 중",31,4935.483871,5,,30.6,16.129032,5,16.129032,30.6,4,38.25
2024-10-31,2026-04-26,6차새로운셋팅,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,128,1,231,"광고 세트 예산 사용 중",0,1155,"진행 중",128,9023.4375,5,,231,3.90625,6,4.6875,192.5,4,288.75
2024-10-31,2026-04-26,7차픽셀가족육아캠핑,18-24,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,6,1,,"광고 세트 예산 사용 중",0,109,"진행 중",6,18166.666667,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",52,actions:offsite_conversion.fb_pixel_lead,540,1.42963,87.59615385,"광고 세트 예산 사용 중",0,4555,"진행 중",772,5900.259067,51,,89.313725,6.606218,54,6.994819,84.351852,49,92.959184
2024-10-31,2026-04-26,광고소재합치기,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",428,actions:offsite_conversion.fb_pixel_lead,928,2.810345,29.81775701,"광고 세트 예산 사용 중",0,12762,"진행 중",2608,4893.404908,519,,24.589595,19.900307,508,19.478528,25.122047,296,43.114865
2024-10-31,2026-04-26,8번째3번광고소재부업으로,18-24,inactive,"클릭 후 7일 또는 조회 후 1일",,,7,1,,"광고 세트 예산 사용 중",0,56,"진행 중",7,8000,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째3번광고핑거스냅,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",719,actions:offsite_conversion.fb_pixel_lead,4432,1.629738,60.16272601,"광고 세트 예산 사용 중",0,43257,"진행 중",7223,5988.785823,889,,48.658043,12.307905,875,12.11408,49.436571,638,67.80094
2024-10-31,2026-04-26,크루즈인솔자,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,1570,1.414013,,"광고 세트 예산 사용 중",0,67900,2024-11-27,2220,30585.585586,58,,1170.689655,2.612613,68,3.063063,998.529412,45,1508.888889
2024-10-31,2026-04-26,8번째3번광고소재부업,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,52,1.019231,,"광고 세트 예산 사용 중",0,510,"진행 중",53,9622.641509,,,,,0,0,0,,
2024-10-31,2026-04-26,2차인솔자테스트,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,47,1.106383,,"광고 세트 예산 사용 중",0,1978,2024-11-27,52,38038.461538,,,,,2,3.846154,989,,
2024-10-31,2026-04-26,20250103새로만들기,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",129,actions:offsite_conversion.fb_pixel_lead,390,2.166667,26.37984496,"광고 세트 예산 사용 중",0,3403,"진행 중",845,4027.218935,169,,20.136095,20,166,19.64497,20.5,112,30.383929
2024-10-31,2026-04-26,놀면서일하는영상,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,752,1.518617,,"광고 세트 예산 사용 중",0,59015,2024-11-27,1142,51676.882662,31,,1903.709677,2.714536,38,3.327496,1553.026316,28,2107.678571
2024-10-31,2026-04-26,20250104복사핑거스냅,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",149,actions:offsite_conversion.fb_pixel_lead,441,2.22449,35.80536913,"광고 세트 예산 사용 중",0,5335,"진행 중",981,5438.328236,223,,23.923767,22.731906,217,22.120285,24.585253,133,40.112782
2024-10-31,2026-04-26,세번째인솔자광고,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",20,actions:offsite_conversion.fb_pixel_lead,1660,1.287952,2900.6,"광고 세트 예산 사용 중",0,58012,"진행 중",2138,27133.769878,66,,878.969697,3.086997,76,3.554724,763.315789,63,920.825397
2024-10-31,2026-04-26,2025년1월6일핑거스냅편집,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",4,actions:offsite_conversion.fb_pixel_lead,32,1.6875,84,"광고 세트 예산 사용 중",0,336,"진행 중",54,6222.222222,7,,48,12.962963,7,12.962963,48,4,84
2024-10-31,2026-04-26,2차영상없는랜딩,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,11,1.090909,,"광고 세트 예산 사용 중",0,427,2024-11-27,12,35583.333333,1,,427,8.333333,1,8.333333,427,1,427
2024-10-31,2026-04-26,2024년1월6일떠오르는직업,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,25,2.24,,"광고 세트 예산 사용 중",0,325,"진행 중",56,5803.571429,2,,162.5,3.571429,2,3.571429,162.5,,
2024-10-31,2026-04-26,고객이알아서문의하는영상,25-34,archived,"클릭 후 7일 또는 조회 후 1일",,,15,1.133333,,"광고 세트 예산 사용 중",0,643,2024-11-27,17,37823.529412,,,,,0,0,0,,
2024-10-31,2026-04-26,세부타겟2024년1월6일떠오르는직업,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",4,actions:offsite_conversion.fb_pixel_lead,66,1.348485,135.25,"광고 세트 예산 사용 중",0,541,"진행 중",89,6078.651685,4,,135.25,4.494382,5,5.617978,108.2,4,135.25
2024-10-31,2026-04-26,월5억노하우,25-34,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,22,1,,"광고 세트 예산 사용 중",0,1050,2024-11-27,22,47727.272727,,,,,0,0,0,,
2024-10-31,2026-04-26,"세부타겟2025년1월6일핑거스냅편집 - 사본",25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",9,actions:offsite_conversion.fb_pixel_lead,75,1.413333,84,"광고 세트 예산 사용 중",0,756,"진행 중",106,7132.075472,16,,47.25,15.09434,15,14.150943,50.4,10,75.6
2024-10-31,2026-04-26,이미지크루즈비즈니스,25-34,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,9,1,,"광고 세트 예산 사용 중",0,562,2024-11-27,9,62444.444444,1,,562,11.111111,1,11.111111,562,1,562
2024-10-31,2026-04-26,놀면서일하는영상,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,129,1.186047,,"광고 세트 예산 사용 중",0,4524,"진행 중",153,29568.627451,4,,1131,2.614379,6,3.921569,754,4,1131
2024-10-31,2026-04-26,인솔자크루즈,25-34,archived,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,19,1,,"광고 세트 예산 사용 중",0,275,2024-11-27,19,14473.684211,,,,,0,0,0,,
2024-10-31,2026-04-26,평생여행못한제가,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",4,actions:offsite_conversion.fb_pixel_lead,80,1.0375,734,"광고 세트 예산 사용 중",0,2936,"진행 중",83,35373.493976,3,,978.666667,3.614458,4,4.819277,734,3,978.666667
2024-10-31,2026-04-26,"여행이 일이되는 순간",25-34,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,22,1.090909,1025,"광고 세트 예산 사용 중",0,1025,"진행 중",24,42708.333333,,,,,1,4.166667,1025,,
2024-10-31,2026-04-26,네번째인솔자광고,25-34,inactive,"여러 기여 설정",67,actions:offsite_conversion.fb_pixel_lead,1230,1.196748,277.19402985,"광고 세트 예산 사용 중",0,18572,"진행 중",1472,12616.847826,68,,273.117647,4.619565,73,4.959239,254.410959,64,290.1875
2024-10-31,2026-04-26,"새로운 캠페인 복제 재택가능 픽셀바꿈",25-34,inactive,"여러 기여 설정",26,actions:offsite_conversion.fb_pixel_lead,523,1.068834,187.88461538,"광고 세트 예산 사용 중",0,4885,"진행 중",559,8738.81932,30,,162.833333,5.366726,30,5.366726,162.833333,26,187.884615
2024-10-31,2026-04-26,6차새로운셋팅,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",27,actions:offsite_conversion.fb_pixel_lead,784,1.079082,274.03703704,"광고 세트 예산 사용 중",0,7399,"진행 중",846,8745.862884,29,,255.137931,3.427896,32,3.782506,231.21875,27,274.037037
2024-10-31,2026-04-26,7차픽셀새로셋팅,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",5,actions:offsite_conversion.fb_pixel_lead,125,1.056,459.8,"광고 세트 예산 사용 중",0,2299,"진행 중",132,17416.666667,6,,383.166667,4.545455,7,5.30303,328.428571,4,574.75
2024-10-31,2026-04-26,7차픽셀크루즈프리랜서자영업복사,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,28,1,,"광고 세트 예산 사용 중",0,269,"진행 중",28,9607.142857,,,,,0,0,0,,
2024-10-31,2026-04-26,7차픽셀가족육아캠핑,25-34,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,43,1.046512,646,"광고 세트 예산 사용 중",0,646,"진행 중",45,14355.555556,1,,646,2.222222,1,2.222222,646,1,646
2024-10-31,2026-04-26,8번째광고소재픽셀바꿈,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,4,1,,"광고 세트 예산 사용 중",0,46,"진행 중",4,11500,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째광고소재픽셀바꿈2번째,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",1,actions:offsite_conversion.fb_pixel_lead,49,1.061224,427,"광고 세트 예산 사용 중",0,427,"진행 중",52,8211.538462,2,,213.5,3.846154,2,3.846154,213.5,1,427
2024-10-31,2026-04-26,8번째광고소재픽셀바꿈3번째,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",8,actions:offsite_conversion.fb_pixel_lead,91,1.098901,89.25,"광고 세트 예산 사용 중",0,714,"진행 중",100,7140,9,,79.333333,9,10,10,71.4,8,89.25
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,1,1,,"광고 세트 예산 사용 중",0,9,"진행 중",1,9000,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째2번광고소재픽셀바꿈2번째,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",95,actions:offsite_conversion.fb_pixel_lead,2284,1.170315,163.72631579,"광고 세트 예산 사용 중",0,15554,"진행 중",2673,5818.930041,93,,167.247312,3.479237,106,3.965582,146.735849,91,170.923077
2024-10-31,2026-04-26,광고소재합치기,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",942,actions:offsite_conversion.fb_pixel_lead,2464,2.426136,35.39596603,"광고 세트 예산 사용 중",0,33343,"진행 중",5978,5577.617932,1144,,29.145979,19.136835,1110,18.568083,30.038739,742,44.936658
2024-10-31,2026-04-26,8번째3번광고소재부업으로,25-34,inactive,"클릭 후 7일 또는 조회 후 1일",,,27,1.037037,,"광고 세트 예산 사용 중",0,321,"진행 중",28,11464.285714,,,,,0,0,0,,
2024-10-31,2026-04-26,8번째3번광고핑거스냅,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",3470,actions:offsite_conversion.fb_pixel_lead,15184,2.059405,54.14063401,"광고 세트 예산 사용 중",0,187868,"진행 중",31270,6007.930924,4705,,39.929437,15.04637,4601,14.713783,40.831993,3242,57.94818
2024-10-31,2026-04-26,크루즈인솔자,35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,1608,1.340174,,"광고 세트 예산 사용 중",0,100033,2024-11-27,2155,46419.025522,101,,990.425743,4.686775,109,5.058005,917.733945,92,1087.315217
2024-10-31,2026-04-26,8번째3번광고소재부업,35-44,inactive,"클릭 후 7일 또는 조회 후 1일",3,actions:offsite_conversion.fb_pixel_lead,124,1.016129,581.33333333,"광고 세트 예산 사용 중",0,1744,"진행 중",126,13841.269841,3,,581.333333,2.380952,3,2.380952,581.333333,3,581.333333
2024-10-31,2026-04-26,2차인솔자테스트,35-44,archived,"클릭 후 7일 또는 조회 후 1일",,,40,1.075,,"광고 세트 예산 사용 중",0,1621,2024-11-27,43,37697.674419,1,,1621,2.325581,1,2.325581,1621,1,1621
2024-10-31,2026-04-26,20250103새로만들기,35-44,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",365,actions:offsite_conversion.fb_pixel_lead,1212,2.797855,37.49315068,"광고 세트 예산 사용 중",0,13685,"진행 중",3391,4035.682689,559,,24.481216,16.484813,543,16.012976,25.202578,348,39.324713
2024-10-31,2026-04-26,놀면서일하는영상,35-44,archived,"클릭 후 7일 또는 조회 후 1일",2,actions:lead,925,1.423784,48084,"광고 세트 예산 사용 중",0,96168,2024-11-27,1317,73020.501139,64,,1502.625,4.859529,77,5.846621,1248.935065,58,1658.068966
